RL;Jugador;País;Posc;Equipo;Edad;Nacimiento;PJ;Titular;Mín;90 s;Gls.;Ass;G-TP;TP;TPint;TA;TR;Gls.;Ast;G+A;G-TP;G+A-TP;Dis;DaP;% de TT;T/90;TalArc/90;G/T;G/TalArc;Dist;FK;TP;TPint;TA;TR;2a amarilla;Fls;FR;PA;Pcz;Int;TklG;Penal ejecutado;Penal concedido;GC;Recup.;Ganados;Perdidos;% de ganados
188;David Gil;ESP;PO;Cádiz;27;1994;1;1;90;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;
189;Álvaro Giménez;ESP;DL,CC;Cádiz;29;1991;11;3;407;4.5;2;1;2;0;0;0;0;0.44;0.22;0.66;0.44;0.66;5;2;40.0;1.11;0.44;0.40;1.00;10.6;0;0;0;0;0;0;8;6;4;1;3;2;0;0;0;18;20;29;40.8
190;Dani Gómez;ESP;DL;Levante;22;1998;26;12;1204;13.4;2;1;2;0;0;3;0;0.15;0.07;0.22;0.15;0.22;23;6;26.1;1.72;0.45;0.09;0.33;15.6;0;0;0;3;0;0;23;31;11;9;2;5;1;0;0;63;9;38;19.1
191;Ibai Gómez;ESP;CC,DL;Athletic Club;31;1989;4;1;101;1.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.89;0.00;0.00;;19.6;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;9;2;2;50.0
192;Maxi Gómez;URU;DL;Valencia;24;1996;24;24;2115;23.5;5;0;5;0;0;5;0;0.21;0.00;0.21;0.21;0.21;46;20;43.5;1.96;0.85;0.11;0.25;17.0;3;0;0;5;0;0;44;59;28;14;1;8;4;0;0;92;96;81;54.2
193;Moi Gómez;ESP;CC,DL;Villarreal;26;1994;26;23;2021;22.5;3;0;2;1;1;1;0;0.13;0.00;0.13;0.09;0.09;17;7;41.2;0.76;0.31;0.12;0.29;16.8;0;1;1;1;0;0;18;28;9;37;17;15;0;1;0;153;7;26;21.2
194;Papu Gómez;ARG;DL,CC;Sevilla;33;1988;9;5;412;4.6;1;0;1;0;0;0;0;0.22;0.00;0.22;0.22;0.22;8;5;62.5;1.75;1.09;0.13;0.20;21.3;0;0;0;0;0;0;7;12;1;12;12;3;0;0;0;26;2;4;33.3
195;Sergi Gómez;ESP;DF;Sevilla;29;1992;9;9;719;8.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.13;0.00;0.00;;13.0;0;0;0;2;0;0;1;1;0;0;3;3;0;0;0;51;23;22;51.1
196;Sergio Gómez;ESP;DL,CC;Huesca;20;2000;20;2;423;4.7;0;1;0;0;0;0;0;0.00;0.21;0.21;0.00;0.21;6;2;33.3;1.28;0.43;0.00;0.00;21.9;1;0;0;0;0;0;4;4;1;13;10;9;0;0;0;29;0;6;0.0
197;Maxime Gonalons;FRA;CC;Granada;32;1989;17;12;978;10.9;0;1;0;0;0;6;1;0.00;0.09;0.09;0.00;0.09;2;1;50.0;0.18;0.09;0.00;0.00;11.0;0;0;0;6;1;0;25;20;1;3;15;39;0;0;0;143;25;15;62.5
198;Bruno González;ESP;DF;Valladolid;30;1990;24;22;1993;22.1;1;0;1;0;0;7;0;0.05;0.00;0.05;0.05;0.05;4;2;50.0;0.18;0.09;0.25;0.50;10.0;0;0;0;7;0;0;29;13;0;0;26;13;0;0;0;190;50;37;57.5
199;Diego González;ESP;DF;Elche;26;1995;14;10;830;9.2;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;3;1;33.3;0.33;0.11;0.00;0.00;7.3;0;0;0;4;0;0;13;3;0;0;8;9;0;0;0;76;27;12;69.2
200;Sergio González;ESP;CC;Cádiz;23;1997;1;1;90;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;1.00;0.00;0.00;;7.6;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;13;2;3;40.0
201;Urko González;ESP;CC;Real Sociedad;20;2001;1;0;2;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;
202;Andoni Gorosabel;ESP;DF;Real Sociedad;24;1996;24;21;1767;19.6;0;1;0;0;0;2;0;0.00;0.05;0.05;0.00;0.05;9;2;22.2;0.46;0.10;0.00;0.00;21.0;0;0;0;2;0;0;28;22;0;49;13;27;0;0;0;148;9;21;30.0
203;Antoine Griezmann;FRA;DL,CC;Barcelona;30;1991;27;24;1881;20.9;8;6;8;0;1;3;0;0.38;0.29;0.67;0.38;0.67;53;22;41.5;2.54;1.05;0.15;0.36;14.7;0;0;1;3;0;0;9;25;9;25;9;20;1;0;0;99;15;13;53.6
204;Andrés Guardado;MEX;CC;Betis;34;1986;17;13;983;10.9;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;8;4;50.0;0.73;0.37;0.00;0.00;22.4;0;0;0;1;0;0;15;7;0;5;19;12;0;0;0;114;17;14;54.8
205;Sergi Guardiola;ESP;DL;Valladolid;29;1991;23;17;1533;17.0;1;2;0;1;2;4;0;0.06;0.12;0.18;0.00;0.12;26;5;19.2;1.53;0.29;0.00;0.00;16.4;1;1;2;4;0;0;37;36;12;13;8;5;1;0;0;84;49;88;35.8
206;Nemanja Gudelj;SRB;CC,DF;Sevilla;29;1991;22;8;824;9.2;0;0;0;0;0;6;0;0.00;0.00;0.00;0.00;0.00;6;1;16.7;0.66;0.11;0.00;0.00;30.5;2;0;0;6;0;0;13;6;0;3;12;16;0;0;0;63;17;15;53.1
207;Gonçalo Guedes;POR;CC,DL;Valencia;24;1996;22;18;1510;16.8;2;3;2;0;0;2;1;0.12;0.18;0.30;0.12;0.30;39;9;23.1;2.32;0.54;0.05;0.22;21.9;2;0;0;2;1;0;22;41;3;33;12;14;0;0;0;103;8;13;38.1
208;Ander Guevara;ESP;CC;Real Sociedad;23;1997;23;17;1429;15.9;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;4;0;0.0;0.25;0.00;0.00;;22.0;0;0;0;4;0;0;20;10;1;2;14;24;0;0;0;202;20;19;51.3
209;John Guidetti;SWE;DL;Alavés;28;1992;5;0;76;0.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;2;0;0.0;2.37;0.00;0.00;;22.3;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;4;3;1;75.0
210;Hugo Guillamón;ESP;DF;Valencia;21;2000;18;14;1384;15.4;1;0;1;0;0;6;0;0.07;0.00;0.07;0.07;0.07;6;1;16.7;0.39;0.07;0.17;1.00;10.4;0;0;0;6;0;0;22;22;1;0;10;7;0;1;1;146;46;36;56.1
211;Jon Guridi;ESP;CC;Real Sociedad;26;1995;12;5;561;6.2;0;1;0;0;0;2;0;0.00;0.16;0.16;0.00;0.16;7;2;28.6;1.12;0.32;0.00;0.00;18.9;0;0;0;2;0;0;10;12;0;2;7;8;1;0;0;45;10;16;38.5
212;Raúl Guti;ESP;CC;Elche;24;1996;28;25;2246;25.0;2;0;2;0;0;3;0;0.08;0.00;0.08;0.08;0.08;21;5;23.8;0.84;0.20;0.10;0.40;20.9;0;0;0;3;0;0;30;38;1;11;31;20;0;0;0;215;13;19;40.6
213;Marcos Mauro López Gutiérrez;ARG;DF;Cádiz;30;1991;17;16;1267;14.1;1;0;1;0;0;2;1;0.07;0.00;0.07;0.07;0.07;3;2;66.7;0.21;0.14;0.33;0.50;11.3;0;0;0;2;1;0;9;2;0;0;13;14;0;1;0;112;26;21;55.3
214;Munir El Haddadi;MAR;DL;Sevilla;25;1995;22;9;838;9.3;4;2;4;0;0;2;0;0.43;0.21;0.64;0.43;0.64;31;13;41.9;3.33;1.40;0.13;0.31;16.1;1;0;0;2;0;0;22;28;8;19;3;9;0;0;0;71;10;14;41.7
215;Eden Hazard;BEL;DL;Real Madrid;30;1991;9;6;392;4.4;2;1;2;0;0;0;0;0.46;0.23;0.69;0.46;0.69;7;3;42.9;1.61;0.69;0.29;0.67;14.9;0;0;0;0;0;0;1;12;3;3;4;0;0;0;0;19;2;5;28.6
216;Mario Hermoso;ESP;DF;Atlético Madrid;25;1995;24;24;2102;23.4;1;1;1;0;0;5;0;0.04;0.04;0.09;0.04;0.09;16;4;25.0;0.69;0.17;0.06;0.25;17.1;0;0;0;5;0;0;24;24;2;3;27;32;0;0;1;201;36;29;55.4
217;Aridane Hernández;EQG;DF;Osasuna;32;1989;19;19;1576;17.5;0;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.06;0.00;0.00;;8.0;0;0;0;3;1;0;17;16;0;2;32;16;0;0;0;198;68;26;72.3
218;Héctor Herrera;MEX;CC;Atlético Madrid;30;1990;10;4;401;4.5;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.22;0.00;0.00;;23.9;0;0;0;2;0;0;8;4;0;2;6;6;0;0;0;55;11;11;50.0
219;Sergio Herrera;ESP;PO;Osasuna;27;1993;26;25;2328;25.9;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;0;0;1;8;0;0;0;0;0;1;1;181;0;0;
220;Yangel Herrera;VEN;CC;Granada;23;1998;26;20;1880;20.9;3;1;3;0;0;7;0;0.14;0.05;0.19;0.14;0.19;28;7;25.0;1.34;0.34;0.11;0.43;16.9;0;0;0;7;0;0;52;52;5;13;24;33;1;1;0;222;111;100;52.6
221;Pablo Hervías;ESP;DF,DL;Valladolid;28;1993;21;9;1020;11.3;0;4;0;0;0;1;0;0.00;0.35;0.35;0.00;0.35;11;5;45.5;0.97;0.44;0.00;0.00;27.8;6;0;0;1;0;0;8;11;0;58;11;17;0;0;0;104;9;12;42.9
222;Jordan Holsgrove; SCO;CC;Celta Vigo;21;1999;3;0;110;1.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.82;0.00;0.00;;12.8;0;0;0;0;0;0;2;3;0;2;0;1;0;0;0;4;0;0;
223;Vicente Iborra;ESP;CC;Villarreal;33;1988;13;10;928;10.3;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;3;0;0.0;0.29;0.00;0.00;;17.0;0;0;0;4;0;0;15;9;0;1;5;13;0;0;0;94;20;19;51.3
224;Oussama Idrissi;MAR;DL,CC;Sevilla;25;1996;3;0;27;0.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;1;100.0;3.33;3.33;0.00;0.00;10.4;0;0;0;0;0;0;1;0;0;3;1;1;0;0;0;3;0;1;0.0
225;Iglesias;ESP;DF;Getafe;22;1998;4;3;274;3.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;3;1;33.3;0.99;0.33;0.00;0.00;26.2;0;0;0;0;0;0;6;7;0;4;5;4;0;0;0;29;6;7;46.2
226;Borja Iglesias;ESP;DL;Betis;28;1993;20;8;832;9.2;7;0;4;3;3;2;0;0.76;0.00;0.76;0.43;0.43;21;6;28.6;2.27;0.65;0.19;0.67;17.5;0;3;3;2;0;0;17;12;1;3;4;0;3;0;0;36;19;36;34.5
227;Ilaix;ESP;CC;Barcelona;18;2003;6;1;166;1.8;1;2;1;0;0;0;0;0.54;1.08;1.63;0.54;1.63;3;1;33.3;1.63;0.54;0.33;1.00;9.5;0;0;0;0;0;0;3;4;0;0;1;5;0;0;0;12;2;5;28.6
228;Asier Illarramendi;ESP;CC;Real Sociedad;31;1990;5;5;327;3.6;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;0;0;6;11;0;2;5;3;0;0;0;24;10;14;41.7
229;Pablo Insua;ESP;DF;Huesca;27;1993;16;13;1256;14.0;0;0;0;0;0;9;0;0.00;0.00;0.00;0.00;0.00;2;0;0.0;0.14;0.00;0.00;;11.5;0;0;0;9;0;0;24;4;0;1;9;14;0;0;0;108;40;27;59.7
230;Takashi Inui;JPN;CC,DL;Eibar;32;1988;24;20;1617;18.0;1;0;1;0;0;0;0;0.06;0.00;0.06;0.06;0.06;31;15;48.4;1.73;0.83;0.03;0.07;19.8;0;0;0;0;0;0;22;15;8;66;9;10;1;0;0;100;10;34;22.7
231;Alexander Isak;SWE;DL;Real Sociedad;21;1999;25;21;1681;18.7;12;2;12;0;0;3;0;0.64;0.11;0.75;0.64;0.75;58;28;48.3;3.11;1.50;0.21;0.43;12.7;4;0;0;3;0;0;17;21;17;17;2;9;1;0;0;60;26;47;35.6
232;Isco;ESP;CC,DL;Real Madrid;28;1992;18;6;619;6.9;0;1;0;0;0;0;0;0.00;0.15;0.15;0.00;0.15;14;3;21.4;2.04;0.44;0.00;0.00;18.7;0;0;0;0;0;0;12;9;0;13;3;7;0;0;0;32;2;10;16.7
233;Jairo Izquierdo;ESP;CC,DF;Cádiz;27;1993;22;10;1015;11.3;1;0;1;0;0;4;0;0.09;0.00;0.09;0.09;0.09;7;2;28.6;0.62;0.18;0.14;0.50;21.4;0;0;0;4;0;0;11;12;3;20;14;5;0;0;0;97;4;10;28.6
234;Saidy Janko;SUI;DF;Valladolid;25;1995;12;8;694;7.7;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;3;1;33.3;0.39;0.13;0.00;0.00;17.1;0;0;0;1;0;0;7;1;2;19;16;7;0;0;0;54;16;10;61.5
235;Adnan Januzaj;BEL;DL,CC;Real Sociedad;26;1995;19;8;698;7.8;2;2;1;1;1;1;0;0.26;0.26;0.52;0.13;0.39;24;8;33.3;3.09;1.03;0.04;0.13;20.5;3;1;1;1;0;0;5;26;2;29;4;4;1;0;0;51;8;6;57.1
236;Jason;ESP;CC,DF;Valencia;26;1994;15;4;425;4.7;0;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;5;0;0.0;1.06;0.00;0.00;;20.8;0;0;0;4;1;1;6;14;0;11;7;6;0;0;0;32;4;10;28.6
237;Luis Javier Suárez;COL;DL,CC;Granada;23;1997;19;13;1169;13.0;5;0;5;0;0;4;0;0.38;0.00;0.38;0.38;0.38;36;12;33.3;2.77;0.92;0.14;0.42;16.8;0;0;0;4;0;0;15;23;4;15;8;13;1;0;0;62;17;50;25.4
238;Joaquín;ESP;DL,CC;Betis;39;1981;21;11;959;10.7;2;4;2;0;0;1;0;0.19;0.38;0.56;0.19;0.56;10;6;60.0;0.94;0.56;0.20;0.33;14.9;0;0;0;1;0;0;2;8;1;27;11;3;0;0;0;65;10;14;41.7
239;Frenkie de Jong;NED;CC,DF;Barcelona;23;1997;29;27;2451;27.2;3;4;3;0;0;4;0;0.11;0.15;0.26;0.11;0.26;12;4;33.3;0.44;0.15;0.25;0.75;10.8;0;0;0;4;0;0;20;34;4;13;25;22;0;1;0;256;40;20;66.7
240;Luuk de Jong;NED;DL;Sevilla;30;1990;26;12;1077;12.0;4;0;4;0;0;3;0;0.33;0.00;0.33;0.33;0.33;21;8;38.1;1.75;0.67;0.19;0.50;9.1;0;0;0;3;0;0;18;26;7;1;1;5;0;0;0;47;56;60;48.3
241;Jony;ESP;CC,DL;Osasuna;29;1991;16;8;712;7.9;0;1;0;0;0;0;0;0.00;0.13;0.13;0.00;0.13;11;4;36.4;1.39;0.51;0.00;0.00;19.0;0;0;0;0;0;0;9;7;1;46;9;4;0;0;0;59;7;6;53.8
242;Joan Jordán;ESP;CC;Sevilla;26;1994;27;22;1894;21.0;1;6;1;0;0;7;1;0.05;0.29;0.33;0.05;0.33;21;3;14.3;1.00;0.14;0.05;0.33;22.4;5;0;0;7;1;1;43;27;0;28;15;19;0;0;0;198;15;17;46.9
243;Josan;ESP;CC,DF;Elche;31;1989;24;19;1523;16.9;4;2;4;0;0;2;0;0.24;0.12;0.35;0.24;0.35;12;8;66.7;0.71;0.47;0.33;0.50;15.9;0;0;0;2;0;0;17;19;0;53;15;22;0;0;0;111;10;6;62.5
244;Willian José;BRA;DL;Real Sociedad;29;1991;13;8;689;7.7;3;1;3;0;1;0;0;0.39;0.13;0.52;0.39;0.52;13;8;61.5;1.70;1.04;0.23;0.38;10.9;0;0;1;0;0;0;3;10;3;3;1;4;0;0;0;27;12;18;40.0
245;Joselu;ESP;DL;Alavés;31;1990;28;26;2306;25.6;7;1;5;2;4;1;0;0.27;0.04;0.31;0.20;0.23;64;19;29.7;2.50;0.74;0.08;0.26;15.9;3;2;4;1;0;0;34;57;11;18;14;19;1;0;0;118;215;110;66.2
246;Josema;ESP;DF;Elche;24;1996;24;18;1745;19.4;0;1;0;0;0;3;0;0.00;0.05;0.05;0.00;0.05;6;0;0.0;0.31;0.00;0.00;;16.0;0;0;0;3;0;0;18;14;1;15;32;23;0;0;0;127;32;26;55.2
247;Jota;ESP;CC;Alavés;29;1991;16;12;947;10.5;0;1;0;0;0;5;1;0.00;0.10;0.10;0.00;0.10;11;0;0.0;1.05;0.00;0.00;;19.5;0;0;0;5;1;1;14;2;1;17;9;10;0;0;0;84;8;10;44.4
248;Jota;POR;DL;Valladolid;22;1999;12;5;467;5.2;1;0;1;0;0;1;0;0.19;0.00;0.19;0.19;0.19;7;5;71.4;1.35;0.96;0.14;0.20;;;0;0;1;0;0;5;6;1;10;5;3;;;0;;;;
249;Luka Jović;SRB;DL,CC;Real Madrid;23;1997;4;2;149;1.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;6;1;16.7;3.62;0.60;0.00;0.00;11.2;0;0;0;0;0;0;2;1;2;1;0;0;0;0;0;7;3;4;42.9
250;Juanmi;ESP;DL,CC;Betis;27;1993;13;4;502;5.6;2;0;2;0;0;1;0;0.36;0.00;0.36;0.36;0.36;14;5;35.7;2.51;0.90;0.14;0.40;10.9;0;0;0;1;0;0;11;3;6;0;3;8;0;0;0;25;11;12;47.8
251;Vinicius Júnior;BRA;DL;Real Madrid;20;2000;26;14;1401;15.6;3;3;3;0;0;2;0;0.19;0.19;0.39;0.19;0.39;29;7;24.1;1.86;0.45;0.10;0.43;13.3;0;0;0;2;0;0;19;34;7;37;4;20;0;1;0;79;5;10;33.3
252;Jens Jønsson;DEN;CC;Cádiz;28;1993;27;25;1959;21.8;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;9;1;11.1;0.41;0.05;0.00;0.00;19.6;0;0;0;3;0;0;26;19;0;3;35;36;0;1;0;195;36;28;56.3
253;Damian Kądzior;POL;DL,CC;Eibar;28;1992;6;2;195;2.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;5;1;20.0;2.31;0.46;0.00;0.00;21.5;1;0;0;0;0;0;4;4;2;13;0;1;0;0;0;16;0;3;0.0
254;Lee Kangin;KOR;DL,CC;Valencia;20;2001;20;12;1000;11.1;0;4;0;0;0;1;0;0.00;0.36;0.36;0.00;0.36;20;4;20.0;1.80;0.36;0.00;0.00;21.9;4;0;0;1;0;0;12;35;1;13;1;11;0;0;0;57;7;23;23.3
255;Stephane Keller;CMR;DF;Alavés;19;2001;1;0;16;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0.0
256;Kenedy;BRA;DL,CC;Granada;25;1996;25;17;1373;15.3;3;2;3;0;0;2;0;0.20;0.13;0.33;0.20;0.33;35;11;31.4;2.29;0.72;0.09;0.27;26.4;7;0;0;2;0;0;30;21;1;30;17;15;0;1;0;104;11;23;32.4
257;Kike;ESP;DL;Eibar;31;1989;28;27;2313;25.7;8;2;8;0;0;3;1;0.31;0.08;0.39;0.31;0.39;70;25;35.7;2.72;0.97;0.11;0.32;13.5;1;0;0;3;1;1;52;70;10;19;5;20;1;0;0;113;135;189;41.7
258;Giorgi Kochorashvili;GEO;CC;Levante;21;1999;1;0;2;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0
259;Kenan Kodro;BIH;DL,CC;Valladolid;27;1993;9;1;228;2.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;2;0;0.0;0.79;0.00;0.00;;7.0;0;0;0;0;0;0;4;3;1;0;2;0;0;0;0;11;12;11;52.2
260;Kenan Kodro;BIH;DL,CC;Athletic Club;27;1993;3;0;44;0.5;1;0;0;1;1;1;0;2.05;0.00;2.05;0.00;0.00;1;1;100.0;2.05;2.05;0.00;0.00;37.6;0;1;1;1;0;0;1;1;2;0;0;0;1;0;0;0;0;2;0.0
261;Koba Koindredi;FRA;CC;Valencia;19;2001;2;0;15;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;50.0
262;Koke;ESP;CC;Atlético Madrid;29;1992;28;26;2305;25.6;1;2;1;0;0;8;0;0.04;0.08;0.12;0.04;0.12;13;5;38.5;0.51;0.20;0.08;0.20;21.3;0;0;0;8;0;0;37;35;0;12;29;45;0;0;0;271;18;21;46.2
263;Geoffrey Kondogbia;CTA;CC;Valencia;28;1993;5;5;440;4.9;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;4;2;50.0;0.82;0.41;0.00;0.00;33.2;1;0;0;1;0;0;8;10;0;1;4;10;0;0;0;41;5;6;45.5
264;Geoffrey Kondogbia;CTA;CC,DL;Atlético Madrid;28;1993;18;3;443;4.9;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;3;1;33.3;0.61;0.20;0.00;0.00;23.9;0;0;0;4;0;0;15;8;0;0;6;17;0;0;0;56;4;7;36.4
265;Youssouf Koné;MLI;DF,DL;Elche;25;1995;3;1;73;0.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;2;1;1;1;0;0;0;0;5;0;1;0.0
266;Jules Koundé;FRA;DF;Sevilla;22;1998;25;24;2170;24.1;1;1;1;0;0;2;0;0.04;0.04;0.08;0.04;0.08;15;3;20.0;0.62;0.12;0.07;0.33;11.2;0;0;0;2;0;0;17;19;3;11;30;17;0;1;0;225;87;58;60.0
267;Toni Kroos;GER;CC;Real Madrid;31;1990;26;22;1956;21.7;2;8;2;0;0;6;0;0.09;0.37;0.46;0.09;0.46;30;11;36.7;1.38;0.51;0.07;0.18;21.8;0;0;0;6;0;0;24;31;1;37;22;21;0;0;0;140;16;8;66.7
268;Takefusa Kubo;JPN;CC,DL;Getafe;19;2001;12;5;521;5.8;0;1;0;0;0;1;0;0.00;0.17;0.17;0.00;0.17;8;5;62.5;2.41;1.51;0.00;0.00;14.5;0;0;0;2;1;1;3;12;0;10;2;3;0;0;0;25;1;3;25.0
269;Takefusa Kubo;JPN;CC,DL;Villarreal;19;2001;13;2;299;3.3;0;0;0;0;0;2;1;0.00;0.00;0.00;0.00;0.00;10;6;60.0;1.73;1.04;0.00;0.00;17.5;4;0;0;1;0;0;13;16;2;10;7;2;0;0;0;33;5;11;31.3
270;Kuki;ESP;CC;Valladolid;22;1998;2;0;30;0.3;0;1;0;0;0;0;0;0.00;3.00;3.00;0.00;3.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;3;1;1;50.0
271;Víctor Laguardia;ESP;DF;Alavés;31;1989;25;23;2001;22.2;0;0;0;0;0;5;1;0.00;0.00;0.00;0.00;0.00;5;2;40.0;0.22;0.09;0.00;0.00;7.1;0;0;0;5;1;0;22;6;1;3;20;14;0;0;0;185;45;27;62.5
272;Diego Lainez;MEX;DL,CC;Betis;20;2000;13;6;566;6.3;0;1;0;0;0;2;0;0.00;0.16;0.16;0.00;0.16;10;2;20.0;1.59;0.32;0.00;0.00;18.5;0;0;0;2;0;0;7;17;1;16;9;3;0;0;0;41;7;5;58.3
273;Toni Lato;ESP;DF;Valencia;23;1997;11;5;492;5.5;1;0;1;0;0;2;0;0.18;0.00;0.18;0.18;0.18;2;2;100.0;0.37;0.37;0.50;0.50;11.6;0;0;0;2;0;0;9;3;1;5;5;4;0;0;1;46;9;8;52.9
274;Lauti;URU;CC,DL;Celta Vigo;20;2001;1;0;14;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0.0
275;Robin Le Normand;FRA;DF;Real Sociedad;24;1996;25;22;2033;22.6;0;0;0;0;0;5;1;0.00;0.00;0.00;0.00;0.00;10;1;10.0;0.44;0.04;0.00;0.00;10.0;0;0;0;5;1;0;34;15;2;3;24;15;0;1;0;260;96;40;70.6
276;Jeremías Ledesma;ARG;PO;Cádiz;28;1993;26;26;2340;26.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;137;0;0;
277;Florian Lejeune;FRA;DF;Alavés;29;1991;26;26;2295;25.5;1;0;1;0;0;9;0;0.04;0.00;0.04;0.04;0.04;18;6;33.3;0.71;0.24;0.06;0.17;18.7;4;0;0;9;0;0;28;15;1;5;39;21;0;1;0;244;81;39;67.5
278;Iñigo Lekue;ESP;DF;Athletic Club;27;1993;13;2;315;3.5;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;1;1;100.0;0.29;0.29;0.00;0.00;22.0;0;0;0;1;0;0;10;1;2;13;4;4;0;0;0;27;3;4;42.9
279;Thomas Lemar;FRA;CC;Atlético Madrid;25;1995;24;17;1266;14.1;1;3;1;0;0;3;0;0.07;0.21;0.28;0.07;0.28;20;8;40.0;1.42;0.57;0.05;0.13;21.0;2;0;0;3;0;0;13;23;0;26;11;18;1;0;0;105;7;10;41.2
