RL;Jugador;País;Posc;Equipo;Edad;Nacimiento;PJ;Titular;Mín;90 s;Gls.;Ass;G-TP;TP;TPint;TA;TR;Gls.;Ast;G+A;G-TP;G+A-TP;Dis;DaP;% de TT;T/90;TalArc/90;G/T;G/TalArc;Dist;FK;TP;TPint;TA;TR;2a amarilla;Fls;FR;PA;Pcz;Int;TklG;Penal ejecutado;Penal concedido;GC;Recup.;Ganados;Perdidos;% de ganados
280;Clément Lenglet;FRA;DF;Barcelona;25;1995;26;22;1898;21.1;1;0;1;0;0;7;1;0.05;0.00;0.05;0.05;0.05;9;4;44.4;0.43;0.19;0.11;0.25;11.9;0;0;0;7;1;1;35;26;6;3;22;21;0;2;0;213;57;33;63.3
281;Pedro León;ESP;CC,DL;Eibar;34;1986;19;9;794;8.8;1;1;1;0;0;2;0;0.11;0.11;0.23;0.11;0.23;15;6;40.0;1.70;0.68;0.07;0.17;24.8;3;0;0;2;0;0;10;10;3;34;4;7;0;0;0;56;14;14;50.0
282;Sergio León;ESP;DL;Levante;32;1989;22;6;655;7.3;1;0;1;0;0;0;0;0.14;0.00;0.14;0.14;0.14;17;4;23.5;2.34;0.55;0.06;0.25;13.3;0;0;0;0;0;0;14;5;5;4;2;3;0;0;0;37;9;30;23.1
283;Diego Llorente;ESP;DF;Real Sociedad;27;1993;1;1;90;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;2;1;66.7
284;Marcos Llorente;ESP;CC,DF;Atlético Madrid;26;1995;29;25;2259;25.1;9;8;9;0;0;5;0;0.36;0.32;0.68;0.36;0.68;35;16;45.7;1.39;0.64;0.26;0.56;17.6;0;0;0;5;0;0;46;26;6;53;25;35;0;0;0;174;20;28;41.7
285;Renan Lodi;BRA;DF;Atlético Madrid;23;1998;16;8;789;8.8;0;2;0;0;0;2;0;0.00;0.23;0.23;0.00;0.23;9;2;22.2;1.03;0.23;0.00;0.00;18.8;0;0;0;2;0;0;11;18;2;33;16;12;0;0;0;76;9;10;47.4
286;Pedro López Muñoz;ESP;DF;Huesca;37;1983;13;7;697;7.7;0;1;0;0;0;2;0;0.00;0.13;0.13;0.00;0.13;3;0;0.0;0.39;0.00;0.00;;22.6;0;0;0;2;0;0;10;11;3;21;8;15;0;0;0;73;11;8;57.9
287;Adrián López;ESP;DL,CC;Osasuna;33;1988;15;4;409;4.5;1;1;1;0;0;0;0;0.22;0.22;0.44;0.22;0.44;10;2;20.0;2.20;0.44;0.10;0.50;14.6;0;0;0;0;0;0;2;4;4;6;0;4;0;0;0;28;16;27;37.2
288;Javi López;ESP;DF,CC;Alavés;19;2002;9;1;248;2.8;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;1;1;100.0;0.36;0.36;0.00;0.00;17.5;0;0;0;1;0;0;3;3;0;11;6;5;0;0;0;31;3;3;50.0
289;Roberto López;ESP;CC;Real Sociedad;20;2000;13;4;429;4.8;3;0;3;0;0;0;0;0.63;0.00;0.63;0.63;0.63;12;3;25.0;2.52;0.63;0.25;1.00;24.1;2;0;0;0;0;0;1;5;1;12;1;2;0;0;0;39;5;9;35.7
290;Unai López;ESP;CC;Athletic Club;25;1995;18;11;1035;11.5;3;0;3;0;0;5;0;0.26;0.00;0.26;0.26;0.26;18;8;44.4;1.57;0.70;0.17;0.38;25.8;5;0;0;5;0;0;13;17;1;12;6;15;0;0;1;124;7;15;31.8
291;Anthony Lozano;HON;DL;Cádiz;27;1993;21;14;1083;12.0;3;1;3;0;0;4;0;0.25;0.08;0.33;0.25;0.33;29;13;44.8;2.41;1.08;0.10;0.23;12.9;0;0;0;4;0;0;42;21;9;11;2;9;0;0;0;49;42;69;37.8
292;Jeison Lucumí;COL;DL;Elche;26;1995;2;1;49;0.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;1;1;50.0
293;José Luis Gayà;ESP;DF;Valencia;25;1995;25;25;2204;24.5;0;5;0;0;0;5;0;0.00;0.20;0.20;0.00;0.20;18;4;22.2;0.74;0.16;0.00;0.00;18.9;2;0;0;5;0;0;25;25;8;76;24;31;0;2;0;208;23;35;39.7
294;José Luis Morales;ESP;DL,CC;Levante;33;1987;29;24;1946;21.6;10;3;10;0;1;2;0;0.46;0.14;0.60;0.46;0.60;45;21;46.7;2.08;0.97;0.22;0.48;16.4;1;0;1;2;0;0;13;15;17;62;7;10;0;0;0;94;11;18;37.9
295;Luisinho;POR;DF;Huesca;35;1985;5;2;179;2.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.50;0.00;0.00;;32.3;0;0;0;1;0;0;0;4;0;1;1;0;0;0;0;16;2;1;66.7
296;Luismi;ESP;CC,DF;Elche;28;1992;8;2;148;1.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;3;1;0;1;3;3;0;1;0;13;1;0;100.0
297;Darwin Machís;VEN;DL,CC;Granada;28;1993;23;15;1475;16.4;2;4;2;0;1;1;0;0.12;0.24;0.37;0.12;0.37;33;15;45.5;2.01;0.92;0.06;0.13;21.8;4;0;1;1;0;0;24;34;8;46;28;7;0;0;0;97;9;36;20.0
298;Pablo Maffeo;ESP;DF;Huesca;23;1997;20;20;1619;18.0;1;4;1;0;0;4;0;0.06;0.22;0.28;0.06;0.28;10;5;50.0;0.56;0.28;0.10;0.20;17.7;0;0;0;4;0;0;11;37;2;49;23;19;0;2;0;183;29;24;54.7
299;Abdallahi Mahmoud;MTN;CC;Alavés;20;2000;2;1;66;0.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;5;1;2;33.3
300;Nemanja Maksimović;SRB;CC;Getafe;26;1995;26;25;1997;22.2;1;0;1;0;0;3;0;0.05;0.00;0.05;0.05;0.05;10;2;20.0;0.45;0.09;0.10;0.50;14.5;0;0;0;3;0;0;20;9;0;14;37;27;0;0;0;194;37;42;46.8
301;Filip Malbašić;SRB;DL,CC;Cádiz;28;1992;21;4;491;5.5;0;1;0;0;0;2;0;0.00;0.18;0.18;0.00;0.18;6;0;0.0;1.10;0.00;0.00;;15.1;0;0;0;2;0;0;11;12;5;7;2;7;0;0;0;18;5;31;13.9
302;Hugo Mallo;ESP;DF;Celta Vigo;29;1991;25;25;2250;25.0;2;1;2;0;0;6;0;0.08;0.04;0.12;0.08;0.12;18;10;55.6;0.72;0.40;0.11;0.20;14.6;0;0;0;6;0;0;48;26;4;57;23;33;0;2;0;241;50;49;50.5
303;Mickael Malsa;MTQ;CC;Levante;25;1995;27;19;1719;19.1;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;17;5;29.4;0.89;0.26;0.00;0.00;21.8;0;0;0;4;0;0;30;27;0;4;32;29;0;0;0;197;21;22;48.8
304;Aïssa Mandi;ALG;DF;Betis;29;1991;23;22;1942;21.6;3;1;3;0;0;5;2;0.14;0.05;0.19;0.14;0.19;9;7;77.8;0.42;0.32;0.33;0.43;7.7;0;0;0;5;2;1;15;12;2;1;26;15;0;1;0;182;52;27;65.8
305;Eliaquim Mangala;FRA;DF;Valencia;30;1991;5;4;313;3.5;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;2;0;0.0;0.58;0.00;0.00;;7.0;0;0;0;1;0;0;5;2;2;0;4;1;0;0;0;42;15;9;62.5
306;Maranhão;BRA;DL;Valladolid;24;1996;14;8;834;9.3;3;0;3;0;0;1;0;0.32;0.00;0.32;0.32;0.32;22;9;40.9;2.37;0.97;0.14;0.33;15.2;0;0;0;1;0;0;19;17;5;4;0;3;1;0;0;37;29;58;33.3
307;Marcelo;BRA;DF;Real Madrid;32;1988;9;8;694;7.7;0;2;0;0;0;2;0;0.00;0.26;0.26;0.00;0.26;8;0;0.0;1.04;0.00;0.00;;20.9;0;0;0;2;0;0;4;8;2;26;5;12;0;1;0;39;2;11;15.4
308;Iván Marcone;ARG;CC;Elche;30;1990;24;24;2049;22.8;0;0;0;0;0;9;1;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.04;0.00;0.00;;10.6;0;0;0;9;1;1;24;17;0;3;29;41;0;2;0;220;17;13;56.7
309;Óscar de Marcos;ESP;DF,CC;Athletic Club;31;1989;18;11;994;11.0;1;2;1;0;0;1;0;0.09;0.18;0.27;0.09;0.27;6;5;83.3;0.54;0.45;0.17;0.20;11.3;0;0;0;1;0;0;6;3;2;28;11;10;0;0;0;77;5;10;33.3
310;José Mari;ESP;CC;Cádiz;33;1987;14;11;891;9.9;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;10;2;20.0;1.01;0.20;0.00;0.00;25.7;0;0;0;3;0;0;20;8;0;3;12;14;0;0;0;118;15;18;45.5
311;José María Giménez;URU;DF;Atlético Madrid;26;1995;16;15;1324;14.7;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;12;3;25.0;0.82;0.20;0.00;0.00;12.3;0;0;0;4;0;0;15;13;0;1;15;12;0;1;0;113;43;20;68.3
312;Mariano;DOM;DL;Real Madrid;27;1993;11;4;376;4.2;1;0;1;0;0;0;0;0.24;0.00;0.24;0.24;0.24;11;3;27.3;2.63;0.72;0.09;0.33;15.6;0;0;0;0;0;0;6;4;8;0;0;1;0;0;0;7;12;9;57.1
313;Adrián Marín;ESP;DF;Granada;24;1997;5;2;170;1.9;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;1;0;1;3;1;0;0;0;20;3;3;50.0
314;Adrián Marín;ESP;DF,CC;Alavés;24;1997;5;1;93;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.97;0.00;0.00;;21.2;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;12;3;1;75.0
315;Roger Martí;ESP;DL;Levante;30;1991;25;20;1676;18.6;11;2;9;2;4;2;0;0.59;0.11;0.70;0.48;0.59;33;17;51.5;1.77;0.91;0.27;0.53;14.5;0;2;4;2;0;0;37;19;8;14;3;9;0;0;0;65;13;45;22.4
316;Aarón Martín;ESP;DF;Celta Vigo;23;1997;10;10;885;9.8;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;2;1;50.0;0.20;0.10;0.00;0.00;16.2;0;0;0;1;0;0;5;8;1;21;11;3;0;0;0;56;11;17;39.3
317;Álex Martín;ESP;DF;Cádiz;23;1998;1;0;6;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
318;Iñigo Martínez;ESP;DF;Athletic Club;29;1991;23;23;2069;23.0;0;0;0;0;0;8;1;0.00;0.00;0.00;0.00;0.00;12;4;33.3;0.52;0.17;0.00;0.00;23.2;1;0;0;8;1;0;29;29;4;8;25;12;0;0;0;241;66;38;63.5
319;Javi Martínez;ESP;CC;Osasuna;21;1999;8;2;192;2.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;5;0;1;0;5;0;0;0;21;2;3;40.0
320;Marvin;ESP;DF,DL;Real Madrid;20;2000;3;1;88;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;4;0;4;1;1;0;0;0;12;4;0;100.0
321;Jordi Masip;ESP;PO;Valladolid;32;1989;19;19;1710;19.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;0;0;1;2;0;0;0;0;0;0;0;86;0;0;
322;Jaime Mata;ESP;DL;Getafe;32;1988;25;18;1510;16.8;5;0;4;1;2;8;1;0.30;0.00;0.30;0.24;0.24;25;12;48.0;1.49;0.72;0.16;0.33;12.2;0;1;2;8;1;0;59;28;16;26;7;6;0;0;0;77;56;88;38.9
323;Borja Mayoral;ESP;DL;Real Madrid;24;1997;2;0;23;0.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;0;1;0.0
324;Gonzalo Melero;ESP;CC,DL;Levante;27;1994;21;15;1311;14.6;4;1;4;0;0;2;0;0.27;0.07;0.34;0.27;0.34;21;5;23.8;1.44;0.34;0.19;0.80;14.0;0;0;0;2;0;0;18;25;1;2;14;12;0;0;0;114;31;46;40.3
325;Brais Méndez;ESP;CC,DL;Celta Vigo;24;1997;25;21;1913;21.3;5;0;5;0;0;5;0;0.24;0.00;0.24;0.24;0.24;35;15;42.9;1.65;0.71;0.14;0.33;15.7;1;0;0;5;0;0;57;33;3;17;21;33;1;0;0;141;23;52;30.7
326;Édgar Méndez;ESP;CC,DL;Alavés;31;1990;26;22;1743;19.4;4;1;4;0;0;10;1;0.21;0.05;0.26;0.21;0.26;26;9;34.6;1.34;0.46;0.15;0.44;17.4;0;0;0;10;1;1;46;41;7;38;14;16;0;0;0;121;49;43;53.3
327;Eñaut Mendía;ESP;DL;Eibar;21;1999;1;1;61;0.7;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;1.48;0.00;0.00;;27.2;0;0;0;1;0;0;3;0;1;0;0;1;0;1;0;5;0;1;0.0
328;Ferland Mendy;FRA;DF;Real Madrid;25;1995;25;23;2118;23.5;1;0;1;0;0;3;0;0.04;0.00;0.04;0.04;0.04;12;2;16.7;0.51;0.08;0.08;0.50;19.0;0;0;0;3;0;0;22;38;5;40;25;15;0;0;0;167;10;18;35.7
329;Mikel Merino;ESP;CC;Real Sociedad;24;1996;26;25;2154;23.9;2;4;2;0;0;5;0;0.08;0.17;0.25;0.08;0.25;33;8;24.2;1.38;0.33;0.06;0.25;13.6;0;0;0;5;0;0;79;54;4;14;32;36;0;0;0;216;71;72;49.7
330;Martín Merquelanz;ESP;DL,CC;Real Sociedad;25;1995;11;4;521;5.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;10;4;40.0;1.73;0.69;0.00;0.00;18.7;1;0;0;0;0;0;4;11;2;13;7;2;0;0;0;43;4;7;36.4
331;Roque Mesa;ESP;CC;Valladolid;31;1989;17;15;1260;14.0;1;0;0;1;1;4;1;0.07;0.00;0.07;0.00;0.00;17;4;23.5;1.21;0.29;0.00;0.00;25.0;2;1;1;4;1;0;19;19;2;15;10;23;0;0;0;153;14;23;37.8
332;Lionel Messi;ARG;DL,CC;Barcelona;33;1987;27;25;2303;25.6;23;8;20;3;4;4;0;0.90;0.31;1.21;0.78;1.09;146;69;47.3;5.71;2.70;0.14;0.29;19.2;30;3;4;4;0;0;20;64;6;45;5;11;0;0;0;88;11;7;61.1
333;Omenuke Mfulu;COD;CC;Elche;27;1994;15;5;491;5.5;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;0;0;9;3;0;1;5;11;0;0;0;36;4;4;50.0
334;Míchel;ESP;CC;Valladolid;32;1988;14;7;618;6.9;2;0;2;0;0;2;0;0.29;0.00;0.29;0.29;0.29;2;2;100.0;0.29;0.29;1.00;1.00;15.0;0;0;0;2;0;0;13;7;0;17;11;9;0;0;0;82;7;10;41.2
335;Éder Militão;BRA;DF,CC;Real Madrid;23;1998;5;4;323;3.6;0;0;0;0;0;2;1;0.00;0.00;0.00;0.00;0.00;2;0;0.0;0.56;0.00;0.00;;6.5;0;0;0;2;1;0;4;5;0;0;8;2;0;0;0;38;14;3;82.4
336;Luis Milla;ESP;CC;Granada;26;1994;16;14;1253;13.9;1;1;1;0;0;1;0;0.07;0.07;0.14;0.07;0.14;10;3;30.0;0.72;0.22;0.10;0.33;23.6;2;0;0;1;0;0;16;20;0;10;21;16;0;0;0;134;16;13;55.2
337;Pere Milla;ESP;DL,CC;Elche;28;1992;24;15;1404;15.6;3;1;3;0;0;4;0;0.19;0.06;0.26;0.19;0.26;22;9;40.9;1.41;0.58;0.14;0.33;10.6;0;0;0;4;0;0;19;40;4;3;11;17;0;0;0;83;26;38;40.6
338;Alejandro Millán;ESP;DL;Villarreal;21;1999;1;0;2;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
339;Santi Mina;ESP;DL;Celta Vigo;25;1995;26;21;1787;19.9;8;1;8;0;0;4;0;0.40;0.05;0.45;0.40;0.45;36;18;50.0;1.81;0.91;0.22;0.44;12.6;1;0;0;4;0;0;54;46;6;6;7;13;1;0;0;81;64;77;45.4
340;Óscar Mingueza;ESP;DF;Barcelona;21;1999;20;17;1469;16.3;1;1;1;0;0;3;0;0.06;0.06;0.12;0.06;0.12;8;4;50.0;0.49;0.25;0.13;0.25;12.0;0;0;0;3;0;0;18;13;1;13;20;33;0;0;0;123;13;19;40.6
341;Rafa Mir;ESP;DL;Huesca;23;1997;29;23;2095;23.3;10;1;9;1;2;2;0;0.43;0.04;0.47;0.39;0.43;84;32;38.1;3.61;1.37;0.11;0.28;14.8;1;1;2;2;0;0;40;19;26;14;8;7;1;0;0;83;92;92;50.0
342;Jorge Miramón;ESP;DF;Levante;31;1989;22;17;1549;17.2;0;2;0;0;0;1;0;0.00;0.12;0.12;0.00;0.12;9;0;0.0;0.52;0.00;0.00;;16.6;0;0;0;1;0;0;13;10;1;46;30;24;1;0;0;145;23;21;52.3
343;Juan Miranda;ESP;DF;Betis;21;2000;15;12;1137;12.6;1;1;1;0;0;3;0;0.08;0.08;0.16;0.08;0.16;3;2;66.7;0.24;0.16;0.33;0.50;21.9;0;0;0;3;0;0;16;13;0;41;18;11;0;0;0;91;25;29;46.3
344;Luka Modrić;CRO;CC;Real Madrid;35;1985;28;25;2142;23.8;3;3;3;0;0;3;0;0.13;0.13;0.25;0.13;0.25;34;10;29.4;1.43;0.42;0.09;0.30;21.6;1;0;0;3;0;0;22;28;1;43;39;23;0;0;0;177;19;16;54.3
345;Johan Mojica;COL;DF;Elche;28;1992;12;11;887;9.9;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;4;1;25.0;0.41;0.10;0.00;0.00;26.0;0;0;0;2;0;0;12;9;1;29;19;11;0;0;0;85;10;12;45.5
346;Guillem Molina;ESP;DF;Valencia;20;2000;1;0;74;0.8;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;9;2;3;40.0
347;Jorge Molina;ESP;DL,CC;Granada;38;1982;24;11;1079;12.0;4;2;4;0;1;1;0;0.33;0.17;0.50;0.33;0.50;20;8;40.0;1.67;0.67;0.20;0.50;12.1;0;0;1;1;0;0;19;21;6;4;1;5;1;0;0;56;59;62;48.8
348;Victor Mollejo;ESP;CC,DF;Getafe;20;2001;4;0;72;0.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;3;1;2;33.3
349;Jon Moncayola;ESP;CC;Osasuna;22;1998;27;22;2026;22.5;1;0;1;0;0;7;1;0.04;0.00;0.04;0.04;0.04;26;8;30.8;1.15;0.36;0.04;0.13;27.6;0;0;0;7;1;1;33;7;0;17;15;21;0;1;0;232;26;22;54.2
350;Nacho Monreal;ESP;DF;Real Sociedad;35;1986;17;14;1328;14.8;1;1;1;0;0;0;0;0.07;0.07;0.14;0.07;0.14;9;1;11.1;0.61;0.07;0.11;1.00;11.2;0;0;0;0;0;0;15;10;2;27;17;15;0;0;0;142;28;17;62.2
351;Ángel Montoro;ESP;CC;Granada;32;1988;17;14;1122;12.5;1;1;0;1;1;3;0;0.08;0.08;0.16;0.00;0.08;10;1;10.0;0.80;0.08;0.00;0.00;31.6;2;1;1;3;0;0;19;19;1;26;12;11;0;0;0;107;11;19;36.7
352;Martín Montoya;ESP;DF;Betis;29;1991;5;2;239;2.7;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;2;0;0.0;0.75;0.00;0.00;;14.4;0;0;0;0;1;0;4;1;0;5;1;2;0;0;0;27;7;3;70.0
353;Emre Mor;TUR;DL,CC;Celta Vigo;23;1997;11;6;500;5.6;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;8;2;25.0;1.44;0.36;0.00;0.00;18.8;0;0;0;2;0;0;7;13;6;4;2;7;0;0;0;23;4;11;26.7
354;Jon Morcillo;ESP;DL,CC;Athletic Club;22;1998;22;8;813;9.0;0;2;0;0;0;3;0;0.00;0.22;0.22;0.00;0.22;13;3;23.1;1.44;0.33;0.00;0.00;24.1;2;0;0;3;0;0;16;13;2;57;6;4;0;0;0;51;10;7;58.8
355;Alberto Moreno;ESP;CC;Villarreal;28;1992;1;0;7;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
356;Álex Moreno;ESP;DF;Betis;27;1993;19;17;1491;16.6;0;1;0;0;0;3;0;0.00;0.06;0.06;0.00;0.06;10;3;30.0;0.60;0.18;0.00;0.00;19.1;0;0;0;3;0;0;15;15;0;42;20;20;0;0;0;211;17;20;45.9
357;Gerard Moreno;ESP;DL,CC;Villarreal;29;1992;24;24;2060;22.9;19;5;10;9;9;3;0;0.83;0.22;1.05;0.44;0.66;69;29;42.0;3.01;1.27;0.14;0.34;16.3;0;9;9;3;0;0;35;44;12;38;12;10;0;0;0;96;53;60;46.9
358;Tete Morente;ESP;CC,DL;Elche;24;1996;25;19;1744;19.4;2;4;2;0;0;5;0;0.10;0.21;0.31;0.10;0.31;17;3;17.6;0.88;0.15;0.12;0.67;17.5;0;0;0;5;0;0;19;33;5;43;14;23;0;0;0;120;17;20;45.9
359;Loren Morón;ESP;DL,CC;Betis;27;1993;20;9;912;10.1;1;0;1;0;0;1;0;0.10;0.00;0.10;0.10;0.10;20;2;10.0;1.97;0.20;0.05;0.50;17.6;0;0;0;1;0;0;12;19;7;2;5;7;1;0;0;37;27;46;37.0
360;Pedro Mosquera;ESP;CC;Huesca;32;1988;19;19;1680;18.7;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;7;1;14.3;0.37;0.05;0.00;0.00;30.5;0;0;0;1;0;0;23;19;0;1;12;20;0;0;0;216;24;39;38.1
361;Javi Moyano;ESP;DF;Valladolid;35;1986;2;2;103;1.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;9;3;1;75.0
362;Iker Muniain;ESP;CC,DL;Athletic Club;28;1992;27;23;1916;21.3;5;3;5;0;0;1;0;0.23;0.14;0.38;0.23;0.38;23;9;39.1;1.08;0.42;0.22;0.56;14.8;1;0;0;1;0;0;18;67;1;32;14;19;1;0;0;120;10;16;38.5
363;Aihen Muñoz;ESP;DF;Real Sociedad;23;1997;16;14;1210;13.4;0;1;0;0;0;6;0;0.00;0.07;0.07;0.00;0.07;4;1;25.0;0.30;0.07;0.00;0.00;21.5;0;0;0;6;0;0;20;9;0;50;8;14;0;0;0;129;20;19;51.3
364;Joaquín Muñoz;ESP;DL;Huesca;22;1999;3;0;41;0.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;1;100.0;2.20;2.20;0.00;0.00;14.4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;1;3;25.0
365;Jeison Murillo;COL;DF;Celta Vigo;28;1992;27;27;2339;26.0;1;0;1;0;0;9;1;0.04;0.00;0.04;0.04;0.04;6;2;33.3;0.23;0.08;0.17;0.50;8.6;0;0;0;9;1;1;42;26;0;0;25;26;0;0;0;233;59;52;53.2
366;Yunus Musah;USA;CC;Valencia;18;2002;26;15;1290;14.3;1;0;1;0;0;1;0;0.07;0.00;0.07;0.07;0.07;5;1;20.0;0.35;0.07;0.20;1.00;21.0;0;0;0;1;0;0;16;21;2;14;5;11;0;0;0;84;12;20;37.5
367;Yoshinori Mutō;JPN;DL,CC;Eibar;28;1992;22;12;1044;11.6;1;1;1;0;0;0;0;0.09;0.09;0.17;0.09;0.17;19;6;31.6;1.64;0.52;0.05;0.17;16.1;0;0;0;0;0;0;27;14;6;6;4;8;1;0;0;62;33;44;42.9
368;Nacho;ESP;DF;Valladolid;32;1989;20;19;1627;18.1;0;1;0;0;0;3;1;0.00;0.06;0.06;0.00;0.06;8;1;12.5;0.44;0.06;0.00;0.00;21.3;3;0;0;3;1;0;12;19;0;36;22;18;0;0;0;172;11;26;29.7
369;Nacho;ESP;DF;Real Madrid;31;1990;16;16;1392;15.5;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;6;2;33.3;0.39;0.13;0.00;0.00;10.3;0;0;0;4;0;0;28;20;2;10;22;16;0;1;0;108;28;24;53.8
370;Nano;ESP;DL,CC;Cádiz;26;1995;1;0;9;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0.0
371;Roberto Navarro;ESP;CC;Real Sociedad;18;2002;1;0;35;0.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;5;0;0;
372;Ximo Navarro;ESP;DF;Alavés;31;1990;22;21;1742;19.4;1;1;1;0;0;6;0;0.05;0.05;0.10;0.05;0.10;12;3;25.0;0.62;0.15;0.08;0.33;25.2;0;0;0;6;0;0;26;27;0;18;34;25;1;0;0;167;19;26;42.2
