RL;Jugador;País;Posc;Equipo;Edad;Nacimiento;PJ;Titular;Mín;90 s;Gls.;Ass;G-TP;TP;TPint;TA;TR;Gls.;Ast;G+A;G-TP;G+A-TP;Dis;DaP;% de TT;T/90;TalArc/90;G/T;G/TalArc;Dist;FK;TP;TPint;TA;TR;2a amarilla;Fls;FR;PA;Pcz;Int;TklG;Penal ejecutado;Penal concedido;GC;Recup.;Ganados;Perdidos;% de ganados
468;Waldo Rubio;ESP;DL;Valladolid;25;1995;9;5;363;4.0;1;0;0;1;1;1;0;0.25;0.00;0.25;0.00;0.00;8;1;12.5;1.98;0.25;0.00;0.00;23.1;0;1;1;1;0;0;6;2;1;2;1;5;0;0;0;31;0;10;0.0
469;Aitor Ruibal;ESP;DL,CC;Betis;25;1996;20;16;1181;13.1;1;1;1;0;0;2;0;0.08;0.08;0.15;0.08;0.15;21;8;38.1;1.60;0.61;0.05;0.13;18.5;0;0;0;2;0;0;22;11;2;21;17;20;0;0;0;73;12;15;44.4
470;Isma Ruiz;ESP;CC;Granada;20;2001;1;1;67;0.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;1;4;20.0
471;Víctor Ruiz;ESP;DF;Betis;32;1989;20;17;1527;17.0;1;0;1;0;0;5;0;0.06;0.00;0.06;0.06;0.06;3;3;100.0;0.18;0.18;0.33;0.33;13.6;0;0;0;5;0;0;19;4;2;0;31;8;0;0;2;168;50;29;63.3
472;Modibo Sagnan;MLI;DF;Real Sociedad;21;1999;13;6;513;5.7;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;3;1;33.3;0.53;0.18;0.00;0.00;35.1;1;0;0;2;0;0;12;4;0;0;5;3;0;0;0;48;13;14;48.1
473;Borja Sainz;ESP;CC,DL;Alavés;20;2001;18;2;418;4.6;1;0;1;0;0;1;0;0.22;0.00;0.22;0.22;0.22;7;4;57.1;1.51;0.86;0.14;0.25;15.0;0;0;0;1;0;0;14;6;4;11;5;5;0;0;0;30;2;11;15.4
474;Salvi;ESP;CC,DL;Cádiz;30;1991;24;21;1686;18.7;2;0;2;0;0;4;0;0.11;0.00;0.11;0.11;0.11;16;5;31.3;0.85;0.27;0.13;0.40;18.2;0;0;0;4;0;0;14;25;6;78;17;12;0;1;0;108;17;29;37.0
475;Fede San Emeterio;ESP;CC;Valladolid;24;1997;20;14;1191;13.2;0;0;0;0;0;6;0;0.00;0.00;0.00;0.00;0.00;3;0;0.0;0.23;0.00;0.00;;23.0;0;0;0;6;0;0;33;16;0;1;11;16;0;1;0;131;24;35;40.7
476;Antonio Sanabria;PAR;DL;Betis;25;1996;16;10;932;10.4;3;0;3;0;0;2;0;0.29;0.00;0.29;0.29;0.29;24;12;50.0;2.32;1.16;0.13;0.25;11.6;0;0;0;2;0;0;17;11;3;1;2;6;0;0;0;39;36;37;49.3
477;Oihan Sancet;ESP;DL,CC;Athletic Club;20;2000;15;3;399;4.4;1;1;1;0;0;0;0;0.23;0.23;0.45;0.23;0.45;7;2;28.6;1.58;0.45;0.14;0.50;13.4;0;0;0;0;0;0;10;7;2;3;0;5;0;0;0;32;7;12;36.8
478;Juan Sánchez Miño;ARG;DF,CC;Elche;31;1990;9;5;495;5.5;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;0;0;11;6;0;8;4;5;0;0;0;40;4;5;44.4
479;Germán Sánchez;ESP;DF;Granada;34;1986;25;21;1883;20.9;3;1;3;0;0;9;1;0.14;0.05;0.19;0.14;0.19;9;3;33.3;0.43;0.14;0.33;1.00;9.0;0;0;0;9;1;0;24;19;3;0;17;8;0;0;0;172;57;58;49.6
480;Javi Sánchez;ESP;DF;Valladolid;24;1997;12;7;664;7.4;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;2;0;0.0;0.27;0.00;0.00;;7.0;0;0;0;2;0;0;6;1;0;0;11;9;0;0;0;46;10;16;38.5
481;Manuel Sánchez;ESP;DF;Atlético Madrid;20;2000;1;1;49;0.5;0;1;0;0;0;0;0;0.00;1.84;1.84;0.00;1.84;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;
482;Manuel Sánchez;ESP;DF;Osasuna;20;2000;9;5;470;5.2;0;1;0;0;0;2;0;0.00;0.19;0.19;0.00;0.19;3;1;33.3;0.57;0.19;0.00;0.00;18.2;0;0;0;2;0;0;4;4;0;12;5;6;0;0;0;37;4;9;30.8
483;Oier Sanjurjo;ESP;CC;Osasuna;34;1986;26;20;1776;19.7;0;2;0;0;0;7;0;0.00;0.10;0.10;0.00;0.10;12;3;25.0;0.61;0.15;0.00;0.00;15.1;0;0;0;7;0;0;48;36;2;5;22;29;0;2;0;280;61;56;52.1
484;Ivan Šaponjić;SRB;DL;Cádiz;23;1997;5;0;131;1.5;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;3;2;66.7;2.06;1.37;0.00;0.00;8.3;0;0;0;2;0;0;3;4;1;0;1;0;0;0;0;6;2;8;20.0
485;Stefan Savić;MNE;DF;Atlético Madrid;30;1991;25;25;2250;25.0;0;0;0;0;0;13;0;0.00;0.00;0.00;0.00;0.00;5;1;20.0;0.20;0.04;0.00;0.00;5.9;0;0;0;13;0;0;25;11;2;2;22;20;0;1;0;248;70;37;65.4
486;Jaime Seoane;ESP;CC;Huesca;24;1997;22;16;1499;16.7;1;1;1;0;0;4;0;0.06;0.06;0.12;0.06;0.12;15;5;33.3;0.90;0.30;0.07;0.20;19.4;0;0;0;4;0;0;32;20;1;12;12;31;0;1;0;153;21;17;55.3
487;Edgar Sevikyan;RUS;CC;Levante;19;2001;1;0;8;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;
488;Sidnei;BRA;DF;Betis;31;1989;11;7;697;7.7;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.13;0.00;0.00;;5.1;0;0;0;1;0;0;7;8;0;0;10;4;0;0;0;78;19;20;48.7
489;David Silva;ESP;CC;Real Sociedad;35;1986;17;14;1150;12.8;1;4;1;0;0;4;0;0.08;0.31;0.39;0.08;0.39;14;2;14.3;1.10;0.16;0.07;0.50;13.7;1;0;0;4;0;0;22;15;0;11;14;11;0;1;0;109;11;22;33.3
490;Gastón Silva;URU;DF;Huesca;27;1994;8;5;409;4.5;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;0;0;6;1;0;1;4;12;0;0;0;34;4;4;50.0
491;Rui Silva;POR;PO;Granada;27;1994;28;28;2520;28.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;1;0;0;2;4;0;0;0;0;0;2;0;149;0;0;
492;Unai Simón;ESP;PO;Athletic Club;23;1997;29;29;2610;29.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;1;0;0;2;4;1;0;0;0;0;1;0;144;0;1;0.0
493;Dimitris Siovas;GRE;DF;Huesca;32;1988;28;28;2472;27.5;2;0;2;0;0;3;0;0.07;0.00;0.07;0.07;0.07;21;7;33.3;0.76;0.25;0.10;0.29;11.0;0;0;0;3;0;0;25;7;1;5;32;23;0;0;0;292;111;45;71.2
494;Rafa Soares;POR;DF;Eibar;25;1995;15;10;943;10.5;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;2;0;0.0;0.19;0.00;0.00;;19.9;0;0;0;2;0;0;7;3;1;38;13;15;0;0;0;118;16;15;51.6
495;Rubén Sobrino;ESP;DL,CC;Cádiz;28;1992;7;5;527;5.9;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;3;1;33.3;0.51;0.17;0.00;0.00;13.9;0;0;0;1;0;0;4;13;3;4;4;8;1;0;0;23;11;17;39.3
496;Rubén Sobrino;ESP;CC,DL;Valencia;28;1992;5;0;49;0.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;4;0;0;1;1;3;0;0;0;6;0;3;0.0
497;Augusto Solari;ARG;CC;Celta Vigo;29;1992;8;2;262;2.9;0;2;0;0;0;1;0;0.00;0.69;0.69;0.00;0.69;1;0;0.0;0.34;0.00;0.00;;19.0;0;0;0;1;0;0;13;1;0;8;4;6;0;0;0;24;9;5;64.3
498;Roberto Soldado;ESP;DL;Granada;35;1985;24;14;1221;13.6;6;0;5;1;1;5;0;0.44;0.00;0.44;0.37;0.37;24;8;33.3;1.77;0.59;0.21;0.63;16.8;2;1;1;5;0;0;21;13;17;15;5;6;0;0;0;62;24;68;26.1
499;Carlos Soler;ESP;CC;Valencia;24;1997;24;23;2043;22.7;7;5;1;6;7;5;0;0.31;0.22;0.53;0.04;0.26;21;6;28.6;0.93;0.26;0.05;0.17;26.2;6;6;7;5;0;0;20;30;0;18;15;13;0;0;0;200;16;23;41.0
500;Son;ESP;DF,CC;Levante;27;1994;23;8;871;9.7;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;7;5;71.4;0.72;0.52;0.00;0.00;18.3;0;0;0;3;0;0;11;11;0;31;14;8;0;0;0;78;12;10;54.5
501;David Soria;ESP;PO;Getafe;28;1993;20;20;1800;20.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;124;0;0;
502;Alberto Soro;ESP;DL,CC;Granada;22;1999;12;1;255;2.8;1;2;1;0;0;0;0;0.35;0.71;1.06;0.35;1.06;1;1;100.0;0.35;0.35;1.00;1.00;1.0;0;0;0;0;0;0;10;7;3;4;2;3;0;0;0;27;5;6;45.5
503;Damián Suárez;URU;DF;Getafe;32;1988;22;21;1811;20.1;1;0;1;0;0;11;1;0.05;0.00;0.05;0.05;0.05;8;2;25.0;0.40;0.10;0.13;0.50;33.0;2;0;0;11;1;1;41;26;0;47;23;24;0;1;0;190;30;23;56.6
504;Denis Suárez;ESP;CC;Celta Vigo;27;1994;26;25;2083;23.1;0;5;0;0;0;7;0;0.00;0.22;0.22;0.00;0.22;11;1;9.1;0.48;0.04;0.00;0.00;22.1;1;0;0;7;0;0;33;29;1;27;17;26;0;0;0;174;12;9;57.1
505;Luis Suárez;URU;DL;Atlético Madrid;34;1987;26;25;2046;22.7;19;2;16;3;3;5;0;0.84;0.09;0.92;0.70;0.79;78;34;43.6;3.43;1.50;0.21;0.47;16.6;5;3;3;5;0;0;20;35;24;12;5;4;2;0;0;69;20;29;40.8
506;Suso;ESP;DL;Sevilla;27;1993;25;19;1574;17.5;3;2;3;0;0;1;0;0.17;0.11;0.29;0.17;0.29;35;12;34.3;2.00;0.69;0.09;0.25;22.5;2;0;0;1;0;0;18;25;5;62;9;6;0;0;0;89;2;10;16.7
507;Tachi;ESP;DF;Alavés;23;1997;9;5;580;6.4;0;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.16;0.00;0.00;;9.0;0;0;0;4;1;1;9;12;0;1;5;6;1;0;0;51;19;13;59.4
508;Renato Tapia;PER;CC;Celta Vigo;25;1995;27;27;2313;25.7;0;1;0;0;0;11;0;0.00;0.04;0.04;0.00;0.04;13;3;23.1;0.51;0.12;0.00;0.00;15.5;0;0;0;11;0;0;62;43;1;4;36;44;0;0;0;315;57;46;55.3
509;Tomás Tavares;POR;CC,DF;Alavés;20;2001;3;0;65;0.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;0;0;2;1;1;0;0;0;4;1;2;33.3
510;Álvaro Tejero;ESP;DF;Eibar;24;1996;2;1;110;1.2;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;2;1;50.0;1.64;0.82;0.00;0.00;26.7;0;0;0;1;0;0;1;0;0;11;0;3;0;0;0;13;1;3;25.0
511;Cristian Tello;ESP;DL,CC;Betis;29;1991;21;8;896;10.0;4;3;4;0;0;0;0;0.40;0.30;0.70;0.40;0.70;27;11;40.7;2.71;1.10;0.15;0.36;20.9;1;0;0;0;0;0;4;5;2;20;7;8;0;0;0;71;9;6;60.0
512;Marc-André ter Stegen;GER;PO;Barcelona;28;1992;23;23;2070;23.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;99;0;0;
513;David Timor;ESP;CC,DF;Getafe;31;1989;24;9;856;9.5;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;13;3;23.1;1.37;0.32;0.00;0.00;31.9;7;0;0;4;0;0;12;11;0;8;8;6;0;0;0;137;32;26;55.2
514;Toño;ESP;DF;Levante;31;1989;9;6;485;5.4;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;2;0;0.0;0.37;0.00;0.00;;26.8;0;0;0;2;0;0;9;8;1;11;4;4;0;0;0;36;3;6;33.3
515;Lucas Torreira;URU;CC,DL;Atlético Madrid;25;1996;15;3;421;4.7;1;0;1;0;0;1;0;0.21;0.00;0.21;0.21;0.21;2;1;50.0;0.43;0.21;0.50;1.00;21.9;0;0;0;1;0;0;6;10;1;0;5;5;0;0;0;57;5;5;50.0
516;Óliver Torres;ESP;CC,DL;Sevilla;26;1994;25;14;1217;13.5;0;2;0;0;0;2;0;0.00;0.15;0.15;0.00;0.15;9;3;33.3;0.67;0.22;0.00;0.00;18.7;0;0;0;2;0;0;15;15;0;22;16;22;0;0;0;91;3;17;15.0
517;Pau Torres;ESP;DF;Villarreal;24;1997;27;27;2430;27.0;2;0;2;0;0;1;0;0.07;0.00;0.07;0.07;0.07;8;3;37.5;0.30;0.11;0.25;0.67;7.3;0;0;0;1;0;0;12;15;2;3;25;8;0;0;1;251;52;32;61.9
518;Roberto Torres;ESP;CC,DL;Osasuna;32;1989;26;15;1440;16.0;4;1;3;1;1;0;0;0.25;0.06;0.31;0.19;0.25;30;8;26.7;1.87;0.50;0.10;0.38;22.6;1;1;1;0;0;0;9;22;0;40;13;5;0;0;0;119;6;22;21.4
519;Lucas Torró;ESP;CC;Osasuna;26;1994;17;11;1034;11.5;0;1;0;0;0;3;0;0.00;0.09;0.09;0.00;0.09;10;4;40.0;0.87;0.35;0.00;0.00;22.2;0;0;0;3;0;0;17;18;1;4;15;15;0;0;0;142;63;48;56.8
520;Manu Trigueros;ESP;CC;Villarreal;29;1991;27;24;1988;22.1;1;5;1;0;0;6;0;0.05;0.23;0.27;0.05;0.27;24;6;25.0;1.09;0.27;0.04;0.17;21.3;0;0;0;6;0;0;43;32;1;14;11;28;1;0;0;180;15;26;36.6
521;Francisco Trincão;POR;DL,CC;Barcelona;21;1999;23;2;593;6.6;3;2;3;0;0;1;0;0.46;0.30;0.76;0.46;0.76;22;12;54.5;3.34;1.82;0.14;0.25;16.2;0;0;0;1;0;0;6;10;8;11;4;3;0;0;0;39;4;7;36.4
522;Kieran Trippier; ENG;DF;Atlético Madrid;30;1990;19;19;1710;19.0;0;6;0;0;0;0;0;0.00;0.32;0.32;0.00;0.32;2;1;50.0;0.11;0.05;0.00;0.00;17.3;1;0;0;0;0;0;21;13;4;55;21;30;0;0;0;181;39;19;67.2
523;Samuel Umtiti;FRA;DF;Barcelona;27;1993;10;5;494;5.5;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;1;0;0;10;6;0;0;12;4;0;0;0;50;13;4;76.5
524;Enes Ünal;TUR;DL;Getafe;23;1997;20;8;774;8.6;1;2;1;0;0;3;0;0.12;0.23;0.35;0.12;0.35;17;3;17.6;1.98;0.35;0.06;0.33;12.8;2;0;0;3;0;0;27;23;4;3;1;5;0;0;0;41;61;73;45.5
525;Tomáš Vaclík;CZE;PO;Sevilla;32;1989;4;4;360;4.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;17;0;0;
526;Eugeni Valderrama;ESP;DL,CC;Huesca;26;1994;3;1;115;1.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;3;0;0;3;1;0;0;0;9;1;0;100.0
527;Jesús Vallejo;ESP;DF;Granada;24;1997;18;12;1133;12.6;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.08;0.00;0.00;;12.0;0;0;0;1;1;0;9;5;1;1;7;7;0;0;0;86;22;19;53.7
528;Manu Vallejo;ESP;DL;Valencia;24;1997;25;8;835;9.3;5;0;5;0;0;1;0;0.54;0.00;0.54;0.54;0.54;15;11;73.3;1.62;1.19;0.33;0.45;11.5;0;0;0;1;0;0;12;19;4;8;5;8;1;0;0;46;7;22;24.1
529;Federico Valverde;URU;CC;Real Madrid;22;1998;19;10;939;10.4;3;1;3;0;0;0;0;0.29;0.10;0.38;0.29;0.38;17;7;41.2;1.63;0.67;0.18;0.43;18.0;0;0;0;0;0;0;8;7;1;16;13;9;0;0;0;84;6;7;46.2
530;Raphaël Varane;FRA;DF;Real Madrid;27;1993;27;27;2430;27.0;2;0;2;0;0;1;0;0.07;0.00;0.07;0.07;0.07;17;4;23.5;0.63;0.15;0.12;0.50;8.9;0;0;0;1;0;0;12;10;0;1;33;11;0;0;1;238;62;22;73.8
531;Denis Vavro;SVK;DF;Huesca;24;1996;3;1;119;1.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;2;1;50.0;1.51;0.76;0.00;0.00;28.9;0;0;0;0;0;0;0;1;0;1;4;0;0;0;0;17;2;1;66.7
532;Franco Vázquez;ARG;DL,CC;Sevilla;32;1989;10;0;80;0.9;1;0;1;0;0;1;0;1.13;0.00;1.13;1.13;1.13;2;1;50.0;2.25;1.13;0.50;1.00;16.5;0;0;0;1;0;0;3;4;1;2;0;2;0;0;0;13;7;3;70.0
533;Kevin Vázquez;ESP;DF;Celta Vigo;28;1993;2;1;100;1.1;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;0;0;1;0;0;2;1;4;0;0;0;13;0;2;0.0
534;Lucas Vázquez;ESP;DF,DL;Real Madrid;29;1991;23;20;1806;20.1;2;4;2;0;0;3;0;0.10;0.20;0.30;0.10;0.30;21;7;33.3;1.05;0.35;0.10;0.29;19.2;0;0;0;3;0;0;31;30;3;80;15;42;0;0;0;129;10;15;40.0
535;Koke Vegas;ESP;PO;Levante;25;1995;1;1;90;1.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;0;
536;Gabriel Veiga;ESP;CC,DF;Celta Vigo;18;2002;5;1;113;1.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;4;3;0;1;0;1;0;0;0;7;0;4;0.0
537;Unai Vencedor Paris;ESP;CC;Athletic Club;20;2000;21;14;1237;13.7;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;7;1;14.3;0.51;0.07;0.00;0.00;22.4;0;0;0;4;0;0;23;18;0;3;12;19;1;0;0;137;12;14;46.2
538;Gonzalo Verdú;ESP;DF;Elche;32;1988;28;28;2520;28.0;0;2;0;0;0;8;0;0.00;0.07;0.07;0.00;0.07;9;4;44.4;0.32;0.14;0.00;0.00;14.9;2;0;0;8;0;0;26;35;2;3;40;22;0;3;0;192;60;39;60.6
539;Mikel Vesga;ESP;CC;Athletic Club;27;1993;21;14;1198;13.3;0;1;0;0;0;6;0;0.00;0.08;0.08;0.00;0.08;19;4;21.1;1.43;0.30;0.00;0.00;15.7;0;0;0;6;0;0;35;7;1;3;19;19;0;0;0;154;35;23;60.3
540;Rúben Vezo;POR;DF;Levante;26;1994;24;20;1849;20.5;1;0;1;0;0;6;0;0.05;0.00;0.05;0.05;0.05;5;2;40.0;0.24;0.10;0.20;0.50;14.1;0;0;0;6;0;0;25;17;0;3;22;20;0;1;0;201;46;28;62.2
541;Iñigo Vicente;ESP;DL;Athletic Club;23;1998;2;0;33;0.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;2.73;0.00;0.00;;21.8;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;10;0;0;
542;Fede Vico;ESP;DL,CC;Granada;26;1994;13;6;440;4.9;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;7;4;57.1;1.43;0.82;0.00;0.00;24.0;1;0;0;1;0;0;3;12;1;14;5;7;0;0;0;36;2;5;28.6
543;Aleix Vidal;ESP;DF;Sevilla;31;1989;11;4;505;5.6;0;1;0;0;0;1;0;0.00;0.18;0.18;0.00;0.18;1;0;0.0;0.18;0.00;0.00;;25.0;0;0;0;1;0;0;4;14;0;12;8;11;0;0;0;53;8;7;53.3
544;Nacho Vidal;ESP;DF;Osasuna;26;1995;27;19;1805;20.1;0;0;0;0;0;8;0;0.00;0.00;0.00;0.00;0.00;6;2;33.3;0.30;0.10;0.00;0.00;18.4;0;0;0;8;0;0;35;31;1;29;32;23;0;0;0;174;49;28;63.6
545;Toni Villa;ESP;CC,DL;Valladolid;26;1995;17;7;732;8.1;2;0;2;0;0;2;0;0.25;0.00;0.25;0.25;0.25;12;4;33.3;1.48;0.49;0.17;0.50;17.9;0;0;0;2;0;0;12;23;3;17;3;16;2;0;0;57;5;13;27.8
546;Asier Villalibre;ESP;DL;Athletic Club;23;1997;26;8;966;10.7;4;1;4;0;0;1;0;0.37;0.09;0.47;0.37;0.47;21;10;47.6;1.96;0.93;0.19;0.40;12.1;0;0;0;1;0;0;13;23;4;13;2;3;0;0;0;26;41;36;53.2
547;Iván Villar;ESP;PO;Celta Vigo;23;1997;12;10;971;10.8;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;63;0;0;
548;Vitolo;ESP;CC,DF;Atlético Madrid;31;1989;7;3;237;2.6;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.38;0.00;0.00;;9.8;0;0;0;1;0;0;2;7;1;1;1;3;1;0;0;18;6;3;66.7
549;Šime Vrsaljko;CRO;DF;Atlético Madrid;29;1992;8;6;506;5.6;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;0;0;8;4;1;19;6;13;0;0;0;33;14;14;50.0
550;Nikola Vukčević;MNE;CC;Levante;29;1991;13;11;810;9.0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;2;0;0.0;0.22;0.00;0.00;;5.4;0;0;0;4;0;0;18;7;0;2;5;7;0;1;0;57;16;8;66.7
551;Daniel Wass;DEN;CC,DF;Valencia;31;1989;28;28;2378;26.4;3;1;3;0;0;6;0;0.11;0.04;0.15;0.11;0.15;30;10;33.3;1.14;0.38;0.10;0.30;23.5;7;0;0;6;0;0;28;26;7;43;21;29;0;0;0;242;43;44;49.4
552;Shon Weissman;ISR;DL;Valladolid;25;1996;24;18;1535;17.1;4;0;4;0;0;3;0;0.23;0.00;0.23;0.23;0.23;24;12;50.0;1.41;0.70;0.17;0.33;12.2;0;0;0;3;0;0;23;15;19;4;3;5;1;0;0;64;22;56;28.2
553;Iñaki Williams;ESP;DL;Athletic Club;26;1994;29;26;2157;24.0;5;5;4;1;1;1;0;0.21;0.21;0.42;0.17;0.38;48;16;33.3;2.00;0.67;0.08;0.25;15.2;0;1;1;1;0;0;14;31;11;43;3;7;0;0;0;76;39;65;37.5
554;Jawad El Yamiq;MAR;DF;Valladolid;29;1992;13;9;839;9.3;0;1;0;0;0;3;0;0.00;0.11;0.11;0.00;0.11;3;1;33.3;0.32;0.11;0.00;0.00;11.7;0;0;0;3;0;0;6;12;1;0;18;9;0;1;0;81;38;16;70.4
555;Rubén Yáñez;ESP;PO;Getafe;27;1993;9;9;810;9.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;0;0;2;1;0;0;0;0;0;0;0;39;0;0;
556;Yoel;ESP;PO;Eibar;32;1988;2;1;120;1.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;
557;Okay Yokuşlu;TUR;CC;Celta Vigo;27;1994;12;3;462;5.1;0;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;3;0;0.0;0.58;0.00;0.00;;16.8;0;0;0;4;1;0;13;6;2;0;10;10;0;0;0;56;11;10;52.4
558;Joseba Zaldúa;ESP;DF;Real Sociedad;28;1992;8;5;493;5.5;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.18;0.00;0.00;;18.4;0;0;0;2;0;0;12;5;0;17;3;5;0;0;0;46;15;5;75.0
559;Oier Zarraga;ESP;CC;Athletic Club;22;1999;5;1;100;1.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.90;0.00;0.00;;16.0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;6;0;2;0.0
560;Igor Zubeldia;ESP;DF;Real Sociedad;24;1997;21;19;1757;19.5;0;1;0;0;0;5;0;0.00;0.05;0.05;0.00;0.05;8;2;25.0;0.41;0.10;0.00;0.00;17.7;0;0;0;5;0;0;27;10;2;6;20;19;0;0;0;201;49;27;64.5
561;Martín Zubimendi;ESP;CC;Real Sociedad;22;1999;23;12;1284;14.3;0;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;6;1;16.7;0.42;0.07;0.00;0.00;13.0;0;0;0;5;0;0;19;14;0;2;20;14;0;0;0;138;37;20;64.9
562;Martin Ødegaard;NOR;CC,DL;Real Madrid;22;1998;7;3;234;2.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;3;0;0.0;1.15;0.00;0.00;;19.9;0;0;0;0;0;0;1;1;1;2;1;0;0;0;0;15;2;3;40.0
